RA (kilo ohm);RB (kilo ohm);C (nano farad);Freq (Hz);Immagine;Duty Cicle;Valore reale Duty
55.1;12;330;57;12/13/14 (T1+T2)/15(T1);84.75;84.82
10.96;12;330;129;16/17;65.52;65.57
23.9;12;330;94.2;18;74.86;74.94
38.65;12;330;72;19;80.77;80.84
66.87;12;330;49.6;20/21;86.63;86.79
82.26;12;330;42.4;22/23;88.77;88.71
82.26;12;150;86.9;24;88.6;
66.87;12;150;101;25;86.66;
55.1;12;150;116;26;84.69;
38.65;12;150;147;27;80.66;
23.9;12;150;192;28;74.86;
10.96;12;150;263.5;29/30;65.49;
10.96;12;330;128;31;65.83;
